# Shining collection
tmdb:694 # the-shining
tmdb:501170 # doctor-sleep

# Creepshow collection
tmdb:16281 # creepshow
tmdb:16288 # creepshow-2
tmdb:16304 # creepshow-3

# Children of the Corn collection
tmdb:10823 # children-of-the-corn
tmdb:25748 # children-of-the-corn-ii-the-final-sacrifice
tmdb:25749 # children-of-the-corn-iii-urban-harvest
tmdb:25750 # children-of-the-corn-iv-the-gathering
tmdb:25751 # children-of-the-corn-v-fields-of-terror
tmdb:25752 # children-of-the-corn-666-isaac-s-return
tmdb:25753 # children-of-the-corn-revelation
tmdb:70575 # children-of-the-corn-genesis
tmdb:445710 # children-of-the-corn-runaway

# Pet Sematary collection
tmdb:8913 # pet-sematary
tmdb:10906 # pet-sematary-ii
tmdb:157433 # pet-sematary
tmdb:830764 # pet-sematary-bloodlines

# Sometimes They Come Back collection
tmdb:27769 # sometimes-they-come-back
tmdb:27770 # sometimes-they-come-back-again
tmdb:27771 # sometimes-they-come-back-for-more

# Lawnmower Man collection
tmdb:10163 # the-lawnmower-man
tmdb:11525 # lawnmower-man-2-beyond-cyberspace

# The Mangler collection
tmdb:13559 # the-mangler
tmdb:27345 # the-mangler-2
tmdb:28660 # the-mangler-reborn

# IT collection
tmdb:346364 # it
tmdb:474350 # it-chapter-two

# Standalones
tmdb:7340     # Carrie (1976)
tmdb:10489    # Cujo (1983)
tmdb:11336    # The Dead Zone (1983)
tmdb:8769     # Christine (1983)
tmdb:11495    # Firestarter (1984)
tmdb:10552    # Cat's Eye (1985)
tmdb:17898    # Silver Bullet (1985)
tmdb:9980     # Maximum Overdrive (1986)
tmdb:235      # Stand by Me (1986)
tmdb:27740    # A Return to Salem's Lot (1987)
tmdb:226252   # The Talisman (1987)
tmdb:865      # The Running Man (1987)
tmdb:20701    # Tales from the Darkside: The Movie (1990)
tmdb:19158    # Graveyard Shift (1990)
tmdb:285798   # Tales from the Darkside (1990)
tmdb:1700     # Misery (1990)
tmdb:10349    # The Dark Half (1993)
tmdb:10657    # Needful Things (1993)
tmdb:278      # The Shawshank Redemption (1994)
tmdb:11929    # Dolores Claiborne (1995)
tmdb:10280    # Thinner (1996)
tmdb:26215    # Quicksilver Highway (1997)
tmdb:17100    # Trucks (1997)
tmdb:12238    # The Night Flier (1997)
tmdb:9445     # Apt Pupil (1998)
tmdb:7341     # The Rage: Carrie 2 (1999)
tmdb:497      # The Green Mile (1999)
tmdb:11313    # Hearts in Atlantis (2001)
tmdb:7342     # Carrie (2002)
tmdb:6171     # Dreamcatcher (2003)
tmdb:16175    # The Diary of Ellen Rimbauer (2003)
tmdb:1586     # Secret Window (2004)
tmdb:12483    # Riding the Bullet (2004)
tmdb:10004    # Desperation (2006)
tmdb:3021     # 1408 (2007)
tmdb:5876     # The Mist (2007)
tmdb:25754    # Children of the Corn (2009)
tmdb:19823    # Dolan's Cadillac (2009)
tmdb:133805   # Carrie (2013)
tmdb:288281   # A Good Marriage (2014)
tmdb:180305   # Mercy (2014)
tmdb:297961   # Big Driver (2014)
tmdb:168098   # Cell (2016)
tmdb:353491   # The Dark Tower (2017)
tmdb:343674   # Gerald's Game (2017)
tmdb:452507   # 1922 (2017)
tmdb:523139   # In the Tall Grass (2019)
tmdb:701121   # Children of the Corn (2020)
tmdb:756747   # A Creepshow Animated Special (2020)
tmdb:532710   # Firestarter (2022)
tmdb:723419   # Mr. Harrigan's Phone (2022)
tmdb:532408   # The Boogeyman (2023)
tmdb:748230   # Salem's Lot (2024)
tmdb:1124620  # The Monkey (2025)
tmdb:604079   # The Long Walk (2025)
tmdb:798645   # The Running Man (2025)
